Date,TN,1W,1M,3M,6M,12M
3/18/2026,5.72,5.76,5.81,5.87,5.94,6
3/17/2026,5.72,5.75,5.82,5.88,5.94,6
3/16/2026,5.73,5.75,5.81,5.87,5.94,6
3/13/2026,5.73,5.74,5.81,5.87,5.93,6
3/12/2026,5.73,5.75,5.81,5.87,5.93,6
3/11/2026,5.73,5.75,5.81,5.87,5.94,6
3/10/2026,5.75,5.77,5.83,5.89,5.94,6
3/9/2026,5.79,5.81,5.86,5.9,5.95,6
3/6/2026,5.76,5.77,5.81,5.88,5.9,5.97
3/5/2026,5.8,5.81,5.84,5.89,5.91,5.98
3/4/2026,5.88,5.89,5.93,5.94,5.96,6.02
3/3/2026,5.63,5.64,5.65,5.76,5.79,5.92
3/2/2026,5.62,5.64,5.64,5.75,5.78,5.92
2/27/2026,5.62,5.63,5.65,5.74,5.79,5.93
2/26/2026,5.61,5.63,5.65,5.75,5.79,5.94
2/25/2026,5.61,5.63,5.65,5.76,5.8,5.95
2/24/2026,5.64,5.65,5.67,5.77,5.81,5.97
2/23/2026,5.64,5.65,5.67,5.77,5.81,5.98
2/20/2026,5.64,5.64,5.67,5.78,5.82,5.99
2/19/2026,5.64,5.64,5.67,5.79,5.83,6
2/18/2026,5.64,5.64,5.67,5.8,5.84,6.01
2/17/2026,5.64,5.65,5.68,5.81,5.85,6.03
2/16/2026,5.64,5.65,5.68,5.83,5.88,6.06
2/13/2026,5.64,5.65,5.68,5.83,5.88,6.06
2/12/2026,5.64,5.65,5.68,5.83,5.9,6.07
2/11/2026,5.64,5.65,5.68,5.83,5.9,6.07
2/10/2026,5.64,5.65,5.68,5.84,5.9,6.08
2/9/2026,5.64,5.65,5.68,5.85,5.92,6.09
2/6/2026,5.64,5.65,5.68,5.85,5.93,6.09
2/5/2026,5.64,5.65,5.69,5.87,5.95,6.11
2/4/2026,5.64,5.65,5.68,5.87,5.95,6.11
2/3/2026,5.64,5.65,5.68,5.87,5.95,6.11
2/2/2026,5.64,5.65,5.68,5.87,5.96,6.12
1/30/2026,5.64,5.65,5.68,5.87,5.97,6.13
1/29/2026,5.64,5.65,5.68,5.88,5.97,6.13
1/28/2026,5.64,5.65,5.68,5.89,5.99,6.13
1/27/2026,5.64,5.66,5.69,5.9,6.01,6.14
1/26/2026,5.65,5.67,5.68,5.9,6.02,6.15
1/23/2026,5.63,5.66,5.68,5.9,6.02,6.16
1/22/2026,5.63,5.66,5.69,5.9,6.04,6.18
1/21/2026,5.63,5.66,5.69,5.91,6.04,6.19
1/20/2026,5.64,5.66,5.69,5.97,6.09,6.26
1/19/2026,5.65,5.65,5.69,5.98,6.09,6.27
1/16/2026,5.65,5.66,5.69,6,6.11,6.29
1/15/2026,5.65,5.67,5.69,6.01,6.14,6.31
1/14/2026,5.66,5.67,5.7,6.03,6.14,6.34
1/13/2026,5.67,5.68,5.7,6.05,6.15,6.37
1/12/2026,5.67,5.68,5.7,6.06,6.17,6.4
1/9/2026,5.68,5.69,5.72,6.1,6.23,6.44
1/8/2026,5.7,5.7,5.73,6.12,6.25,6.46
1/5/2026,5.7,5.7,5.74,6.14,6.28,6.49
12/31/2025,5.7,5.7,5.74,6.14,6.28,6.48
12/30/2025,5.69,5.7,5.74,6.14,6.28,6.48
12/29/2025,5.69,5.69,5.74,6.17,6.31,6.51
12/24/2025,5.7,5.71,5.74,6.17,6.31,6.52
12/23/2025,5.7,5.72,5.74,6.18,6.32,6.52
12/22/2025,5.7,5.72,5.74,6.18,6.32,6.53
12/19/2025,5.69,5.71,5.74,6.19,6.33,6.54
12/18/2025,5.7,5.71,5.74,6.18,6.32,6.53
12/17/2025,5.7,5.7,5.74,6.19,6.33,6.53
12/16/2025,5.7,5.71,5.74,6.19,6.33,6.53
12/15/2025,5.71,5.72,5.74,6.19,6.33,6.53
12/12/2025,5.7,5.71,5.75,6.2,6.34,6.54
12/11/2025,5.7,5.71,5.75,6.2,6.34,6.54
12/10/2025,5.7,5.71,5.75,6.2,6.34,6.54
12/9/2025,5.7,5.71,5.75,6.2,6.34,6.54
12/8/2025,5.71,5.72,5.75,6.2,6.34,6.54
